Job Titles,AI Impact,Tasks,AI models,AI_Workload_Ratio,Domain,Key Skills to Maintain,How to Be AI-Proof,Time to Disruption,AI Impact Assessment,Possible Mismatch
Full Charge Bookkeeper,75.0,123,858,0.1433566433566433,Hospitality,"Customer Service, Conflict Resolution, Time Management, Cultural Awareness",Focus on personalized guest experiences and exceptional interpersonal skills.,5-7 years,"AI enhances service delivery and customer interactions, highlighting the importance of personalized human service.",False
Grant Accountant,75.0,128,886,0.1444695259593679,Finance & Accounting,"Financial Analysis, Strategic Planning, Risk Management, Compliance","Focus on strategic financial planning, complex risk assessment, and high-level decision-making.",5-7 years,"AI transforms routine tasks and analytics, increasing focus on complex, strategic financial decisions.",False
Epic Analyst,75.0,114,798,0.1428571428571428,Data & IT,"Programming, Problem Solving, Cybersecurity, Systems Design","Master advanced technical skills, cybersecurity, and problem-solving to handle AI integration.",5-7 years,"AI reshapes roles through automation and efficiency, demanding continual skill enhancement.",False
It Project Manager,75.0,221,1840,0.1201086956521739,Data & IT,"Programming, Problem Solving, Cybersecurity, Systems Design","Master advanced technical skills, cybersecurity, and problem-solving to handle AI integration.",5-7 years,"AI reshapes roles through automation and efficiency, demanding continual skill enhancement.",False
Software Project Manager,75.0,175,1442,0.1213592233009708,Data & IT,"Programming, Problem Solving, Cybersecurity, Systems Design","Master advanced technical skills, cybersecurity, and problem-solving to handle AI integration.",5-7 years,"AI reshapes roles through automation and efficiency, demanding continual skill enhancement.",False
Technology Project Manager,75.0,175,1443,0.1212751212751212,Data & IT,"Programming, Problem Solving, Cybersecurity, Systems Design","Master advanced technical skills, cybersecurity, and problem-solving to handle AI integration.",5-7 years,"AI reshapes roles through automation and efficiency, demanding continual skill enhancement.",False
Cobol Developer,75.0,130,929,0.1399354144241119,Data & IT,"Programming, Problem Solving, Cybersecurity, Systems Design","Master advanced technical skills, cybersecurity, and problem-solving to handle AI integration.",5-7 years,"AI reshapes roles through automation and efficiency, demanding continual skill enhancement.",False
Quantitative Analyst,75.0,8,46,0.1739130434782608,Data & IT,"Programming, Problem Solving, Cybersecurity, Systems Design","Master advanced technical skills, cybersecurity, and problem-solving to handle AI integration.",5-7 years,"AI reshapes roles through automation and efficiency, demanding continual skill enhancement.",False
Quantitative Research Analyst,75.0,168,1096,0.1532846715328467,Data & IT,"Programming, Problem Solving, Cybersecurity, Systems Design","Master advanced technical skills, cybersecurity, and problem-solving to handle AI integration.",5-7 years,"AI reshapes roles through automation and efficiency, demanding continual skill enhancement.",False
Report Developer,75.0,146,969,0.1506707946336429,Data & IT,"Programming, Problem Solving, Cybersecurity, Systems Design","Master advanced technical skills, cybersecurity, and problem-solving to handle AI integration.",5-7 years,"AI reshapes roles through automation and efficiency, demanding continual skill enhancement.",False
Sas Developer,75.0,133,932,0.1427038626609442,Data & IT,"Programming, Problem Solving, Cybersecurity, Systems Design","Master advanced technical skills, cybersecurity, and problem-solving to handle AI integration.",5-7 years,"AI reshapes roles through automation and efficiency, demanding continual skill enhancement.",False
Statistical Analyst,75.0,166,1087,0.1527138914443422,Data & IT,"Programming, Problem Solving, Cybersecurity, Systems Design","Master advanced technical skills, cybersecurity, and problem-solving to handle AI integration.",5-7 years,"AI reshapes roles through automation and efficiency, demanding continual skill enhancement.",False
Backend Developer,75.0,144,1012,0.1422924901185771,Data & IT,"Programming, Problem Solving, Cybersecurity, Systems Design","Master advanced technical skills, cybersecurity, and problem-solving to handle AI integration.",5-7 years,"AI reshapes roles through automation and efficiency, demanding continual skill enhancement.",False
Data Architect,75.0,162,1081,0.1498612395929695,Data & IT,"Programming, Problem Solving, Cybersecurity, Systems Design","Master advanced technical skills, cybersecurity, and problem-solving to handle AI integration.",5-7 years,"AI reshapes roles through automation and efficiency, demanding continual skill enhancement.",False
Database Designer,75.0,162,1081,0.1498612395929695,Data & IT,"Programming, Problem Solving, Cybersecurity, Systems Design","Master advanced technical skills, cybersecurity, and problem-solving to handle AI integration.",5-7 years,"AI reshapes roles through automation and efficiency, demanding continual skill enhancement.",False
Database Engineer,75.0,12,55,0.2181818181818181,Data & IT,"Programming, Problem Solving, Cybersecurity, Systems Design","Master advanced technical skills, cybersecurity, and problem-solving to handle AI integration.",5-7 years,"AI reshapes roles through automation and efficiency, demanding continual skill enhancement.",False
Gis Developer,75.0,9,48,0.1875,Data & IT,"Programming, Problem Solving, Cybersecurity, Systems Design","Master advanced technical skills, cybersecurity, and problem-solving to handle AI integration.",5-7 years,"AI reshapes roles through automation and efficiency, demanding continual skill enhancement.",False
Informatica Developer,75.0,131,925,0.1416216216216216,Data & IT,"Programming, Problem Solving, Cybersecurity, Systems Design","Master advanced technical skills, cybersecurity, and problem-solving to handle AI integration.",5-7 years,"AI reshapes roles through automation and efficiency, demanding continual skill enhancement.",False
Ui Developer,75.0,152,1088,0.1397058823529411,Data & IT,"Programming, Problem Solving, Cybersecurity, Systems Design","Master advanced technical skills, cybersecurity, and problem-solving to handle AI integration.",5-7 years,"AI reshapes roles through automation and efficiency, demanding continual skill enhancement.",False
Ux Developer,75.0,9,48,0.1875,Data & IT,"Programming, Problem Solving, Cybersecurity, Systems Design","Master advanced technical skills, cybersecurity, and problem-solving to handle AI integration.",5-7 years,"AI reshapes roles through automation and efficiency, demanding continual skill enhancement.",False
Stenographer,75.0,8,49,0.1632653061224489,Hospitality,"Customer Service, Conflict Resolution, Time Management, Cultural Awareness",Focus on personalized guest experiences and exceptional interpersonal skills.,5-7 years,"AI enhances service delivery and customer interactions, highlighting the importance of personalized human service.",False
Allocation Analyst,74.0,155,1102,0.1406533575317604,Data & IT,"Programming, Problem Solving, Cybersecurity, Systems Design","Master advanced technical skills, cybersecurity, and problem-solving to handle AI integration.",5-7 years,"AI reshapes roles through automation and efficiency, demanding continual skill enhancement.",False
Business Operations Manager,71.0,163,1330,0.1225563909774436,Leadership & Strategy,"Strategic Thinking, Decision Making, Emotional Intelligence, Change Management",Develop visionary strategic planning and leadership skills.,5-7 years,"AI complements strategic decision-making and planning, enhancing the necessity of visionary leadership.",False
Ecommerce,70.0,161,1513,0.1064111037673496,Administrative & Clerical,"Attention to Detail, Time Management, Organizational Skills, Digital Literacy",Strengthen digital skills and administrative oversight.,5-7 years,"Highly susceptible to AI-driven automation, making digital literacy and adaptability essential.",False
Solar Sales,70.0,128,1153,0.1110147441457068,Sales & Marketing,"Customer Engagement, Persuasive Communication, Creative Strategy, Data Interpretation",Enhance customer relationship management and strategic creative marketing.,5-7 years,"AI provides deep customer insights and efficiency in routine processes, enhancing strategic customer engagement.",False
Developer,70.0,139,992,0.1401209677419354,Data & IT,"Programming, Problem Solving, Cybersecurity, Systems Design","Master advanced technical skills, cybersecurity, and problem-solving to handle AI integration.",5-7 years,"AI reshapes roles through automation and efficiency, demanding continual skill enhancement.",False
